,loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,loan_status_dv
loan_amnt,1,0.082341438,0.945844873,0.185774618,0.041013067,-0.013667294,-0.025354508,-0.0098483,0.016203328,0.179580291,-0.064875475,0.321272245,0.102904986,0.196456008,0.485965358,0.653356846,0.588462122,0.578099167,0.063588286,0.095866292,0.093405033,0.325632279,-0.023927624,0.006222832,-0.000829327,-0.006119863,0.312127066,-0.023020502,0.03367128,-0.003601949,0.019410768,-0.011865954,0.150466139,-0.08938406,-0.046525218,-0.036386196,0.372219617,0.003372556,0.328673094,-0.004474429,0.075550382,0.007443104,-0.00420759,0.227049054,0.207385428,0.051272992,-0.005257726,0.000962705,0.125435091,0.167538841,0.053811996,0.029971883,0.220621317,0.037542101,-0.032146029,0.003822938,-0.023491956,-0.055579771,0.193853474,0.150744536,0.214391009,0.193815338,0.079651691,0.162764983,0.162813899,0.150285481,0.180222119,-0.001908277,0.001145589,-0.024684109,-0.029041569,0.092727205,0.023301111,-0.089214661,0.00539232,0.337112472,0.276981924,0.375120303,0.20771817,-0.016070965
int_rate,0.082341438,1,0.107158847,-0.050219596,0.122081932,0.058910129,0.190360605,-0.045078868,-0.015488272,-0.016895098,0.055111445,-0.031949678,0.259573741,-0.046363033,0.025896957,0.103332318,-0.012048895,0.405478282,0.060384219,0.120831183,0.114320478,0.095318676,0.019011338,-0.03266183,0.016669033,0.005063605,-0.085505718,0.132841062,0.030733653,0.154931139,0.147459515,-0.084323223,0.034243803,0.142487309,0.117033163,0.124242927,-0.059219463,0.292443463,-0.182175899,0.134411289,0.009121198,0.162588126,0.16837507,-0.081642199,-0.299508459,0.278435575,0.01427633,0.005500695,-0.063617701,-0.133448876,-0.091130573,-0.10971692,-0.091491114,-0.073406264,-0.019508908,-0.141576302,-0.024885732,0.053102729,0.018707447,0.080695268,-0.064524021,-0.087725763,0.013668628,-0.019201715,-0.058667841,0.080449277,-0.017527889,0.00613178,0.01384077,0.033986188,0.178247881,-0.082637079,0.273077509,0.058371758,0.014725356,-0.12427748,0.005292365,-0.242831022,-0.003027883,-0.165243359
installment,0.945844873,0.107158847,1,0.17933888,0.042173925,-0.001969069,0.000396415,-0.019527349,0.000865744,0.16864163,-0.052528314,0.30746086,0.124060242,0.175637125,0.399418756,0.654690632,0.609658081,0.515185399,0.074288782,0.095164954,0.092767413,0.315620702,-0.019333563,-0.001029705,0.001820861,-0.004961433,0.279952361,-0.00676835,0.028162734,0.00604126,0.025433371,-0.013619697,0.138728897,-0.083407283,-0.023174118,-0.011145612,0.353721318,0.02842352,0.298796344,0.006373808,0.061877448,0.023412117,0.014193733,0.199611614,0.170440884,0.07641102,-0.002251059,0.002137431,0.101488555,0.144193139,0.035158545,0.017508703,0.186508209,0.019602462,-0.035463692,-0.01025527,-0.02914542,-0.044935054,0.196455902,0.157735359,0.206484033,0.184539834,0.063495933,0.158996999,0.154353227,0.157009717,0.169140186,-0.000403947,0.003139839,-0.018144948,-0.006884456,0.073559447,0.045915485,-0.080206369,0.012494206,0.30174584,0.259742852,0.339164826,0.190760692,-0.021804307
annual_inc,0.185774618,-0.050219596,0.17933888,1,-0.078736483,0.023903826,0.020289858,-0.029375213,-0.055723571,0.088342028,-0.003534094,0.179379082,0.028558841,0.107755056,0.079672473,0.127885306,0.127461094,0.076220961,0.017051396,0.007380556,0.007366835,0.069294949,-0.003758737,-0.014608976,0.006902281,-0.000634875,0.240223458,0.02298102,0.044084571,0.047989678,0.063418455,-0.045054163,0.116140057,-0.038567063,-0.00188594,-0.003729704,0.150308059,0.010422385,0.174499645,0.034041438,0.028103219,0.039147253,0.038432889,0.179547071,0.097846657,0.006135656,0.004082066,0.003635533,0.074986467,0.083475377,0.017347042,-0.017688766,0.127922599,0.015119842,-0.023234479,-0.026225441,-0.021553751,0.007436046,0.073228363,0.054968201,0.08220517,0.082920816,0.065531135,0.05474539,0.065771981,0.054261255,0.088259655,0.002486388,0.006456531,0.003281999,0.032850775,-0.004040475,-0.001499217,-0.027034135,0.023080967,0.250865163,0.196330686,0.168850111,0.1667232,0.018278286
dti,0.041013067,0.122081932,0.042173925,-0.078736483,1,-0.013665046,-0.007694694,0.01401277,0.05911881,0.180550424,-0.029995271,0.10091212,0.112692151,0.143334441,0.065261195,-0.005009313,-0.025794123,0.059976713,0.000957099,0.017057887,0.017571526,-0.018452345,-0.008577316,0.025049092,-0.001068261,-0.003316952,0.022056318,0.015338129,0.143577773,0.096212999,0.135996347,-0.135693159,0.155720735,-0.013146847,-0.011445496,0.004031205,0.082184166,0.123307457,0.061245829,0.054217428,0.082269994,0.025462986,0.081397794,-0.055419461,-0.034519154,0.115932404,-0.004410858,-0.004314729,0.03811388,0.040947837,-0.006566872,-0.052812464,-0.009255827,0.0035317,0.011363097,0.00614733,0.007052689,-0.029141198,0.109122722,0.157163672,0.070543141,0.047801457,0.143685119,0.114831654,0.086455192,0.159507151,0.180557762,-0.003406534,0.001047596,-0.013028231,0.043529074,0.065196242,0.102470727,-0.016256042,-0.02227355,0.032149862,0.192828532,0.038091194,0.219001361,-0.028404397
delinq_2yrs,-0.013667294,0.058910129,-0.001969069,0.023903826,-0.013665046,1,0.028582292,-0.552614407,-0.07857619,0.0474544,-0.023885829,-0.027230782,0.003130049,0.117701537,-0.035372085,0.01814566,0.010382743,0.032469306,0.034831604,0.014408255,0.014367032,-0.004278939,0.072028076,-0.435371342,0.115854958,0.000419048,0.055167326,0.004356055,0.055008332,-0.006148342,-0.019957196,0.008881435,0.04454368,-0.007804084,-0.017228682,-0.04175374,-0.050589847,0.024821279,-0.048292152,0.017153522,0.017689289,0.029891376,-0.050245389,0.043841397,-0.062053511,0.006237145,0.14062464,0.028204015,0.079168875,0.078186709,0.024782463,0.017551777,0.073601977,0.052017227,-0.468872329,-0.029280446,-0.499798916,0.218579777,-0.036624365,0.000841363,-0.030709057,0.034453343,0.082254861,0.008274415,0.079156552,-0.003439838,0.045106955,0.043301127,0.097371987,0.657923162,-0.021729869,-0.441777816,0.002502995,-0.051519596,0.01069192,0.055234509,0.026393013,-0.079087319,0.054903612,-0.017390779
inq_last_6mths,-0.025354508,0.190360605,0.000396415,0.020289858,-0.007694694,0.028582292,1,0.012409402,-0.08340548,0.148320416,0.07318237,-0.008971653,-0.080717238,0.162434376,-0.083985388,0.036123707,0.023236381,0.053033076,0.017550062,0.044573601,0.04111799,0.04561135,0.014143144,-0.020665572,-0.000111431,0.005779775,0.031471177,0.427357158,0.0376649,0.170056813,0.143344312,-0.091523607,0.061016293,0.086454876,0.32954471,0.291758209,-0.057889645,-0.034917809,0.021393919,0.215004378,0.039627078,0.477470319,0.282867234,-0.023731968,0.015218905,-0.069882294,0.013172133,0.001358718,0.013531085,-0.003528781,-0.189112521,-0.226414426,0.046728937,-0.130705218,0.034484072,-0.561271075,0.02839782,0.050674008,0.078083255,0.128762512,0.125297792,0.14158281,0.06960522,0.149878494,0.165778905,0.110601844,0.145241653,0.000623242,-0.002695389,0.030068647,0.331660972,-0.029613272,-0.062687755,0.081231856,0.017244744,0.032367288,0.038614908,-0.001718458,0.045305053,-0.071649147
mths_since_last_delinq,-0.0098483,-0.045078868,-0.019527349,-0.029375213,0.01401277,-0.552614407,0.012409402,1,-0.040026243,-0.038543887,0.074656609,-0.015293211,-0.000244331,-0.046249876,0.033431257,-0.041424813,-0.033384215,-0.046563844,-0.031835357,-0.014128497,-0.013388545,0.003841949,-0.039538701,0.707858559,-0.131203754,0.010466696,-0.068532352,0.044194483,-0.022471664,0.04367622,0.053437482,-0.01694832,-0.009940975,0.051426182,0.062710006,0.089953687,0.00691803,0.016808294,-0.009743817,0.009093729,-0.006591751,0.00923689,0.112757808,-0.055258166,0.004332435,0.002715884,-0.101402348,-0.03278191,0.002222793,-0.042555614,-0.061164951,-0.06156734,-0.060604525,-0.078691194,0.767762293,-0.003951789,0.864083006,0.009148028,0.02797178,0.008183426,0.018767019,-0.002214094,-0.011359237,-0.014665399,-0.039052832,0.008091236,-0.036990804,-0.051157766,-0.109607194,-0.223412478,0.08513605,0.190737304,-0.000724503,0.107117879,0.003765324,-0.077673877,-0.020481565,0.005907922,-0.032307777,0.012455713
mths_since_last_record,0.016203328,-0.015488272,0.000865744,-0.055723571,0.05911881,-0.07857619,-0.08340548,-0.040026243,1,0.02284346,-0.288246267,-0.005604378,0.030673658,-0.16683667,0.136212642,-0.099640794,-0.094330313,-0.068638821,-0.039669497,-0.025889654,-0.026559167,-0.01217225,-0.023284102,0.035873614,-0.020143843,-0.043551395,0.002794702,-0.067758051,-0.001148196,-0.013631828,0.011866981,-0.027221876,-0.002695068,-0.055825677,-0.109228873,-0.122980556,0.022199011,-0.044370314,0.017567153,-0.032221313,0.001752916,-0.075296279,-0.079600818,-0.009821044,0.019416586,0.044889959,-0.030952091,-0.010365118,-0.074969601,-0.140383278,0.036343138,0.043869687,-0.127523956,0.031945755,-0.081911736,0.066369562,-0.09008386,-0.162642087,0.020238322,0.033077183,-0.009980778,-0.184797057,-0.042167999,0.034489946,-0.167069828,0.041988318,0.032731855,-0.011315798,-0.013230644,-0.071664434,-0.087035289,0.212719429,0.054092309,0.260527081,-0.305588898,-0.001118956,-0.012518411,0.022636723,-0.006394137,0.02036552
open_acc,0.179580291,-0.016895098,0.16864163,0.088342028,0.180550424,0.0474544,0.148320416,-0.038543887,0.02284346,1,-0.020127558,0.237197239,-0.137824615,0.72018799,0.065093423,0.131468012,0.121841593,0.103590719,0.00302887,0.027095045,0.027508237,0.069536908,0.00645689,0.012020946,0.016253226,0.001448284,0.25655926,0.283933477,0.521940672,0.182494837,0.255112633,-0.167387385,0.348963078,0.12836322,0.353025572,0.456660428,0.121508761,-0.007128436,0.396706833,0.119324371,0.112020373,0.183032615,0.493562535,-0.107499499,0.317306276,-0.099621971,0.005398805,0.002987306,0.146616675,0.147297631,-0.238701994,-0.235325242,0.135675301,-0.210796869,-0.019756506,-0.107165869,-0.054107751,0.022144776,0.561660531,0.672247848,0.643435001,0.546146115,0.398748322,0.837979648,0.67122774,0.674434382,0.998965801,0.003841383,0.014814992,0.010294153,0.371888325,0.111480054,-0.08897185,-0.02179615,-0.0070729,0.299259654,0.405878815,0.38783416,0.368710411,-0.017009326
pub_rec,-0.064875475,0.055111445,-0.052528314,-0.003534094,-0.029995271,-0.023885829,0.07318237,0.074656609,-0.288246267,-0.020127558,1,-0.088909302,-0.051237381,0.00159456,-0.060472667,-0.019176438,-0.022078099,-0.003840049,0.006356511,0.007442042,0.007824063,-0.005217119,0.008568506,0.066030123,-0.000354859,0.007858177,-0.064375078,0.057765895,-0.027195448,0.034908195,0.039879044,-0.017162565,-0.017547353,0.023704397,0.081024128,0.101162433,-0.10275702,-0.001962593,-0.099526787,0.062388117,0.001711312,0.086488779,0.094978992,-0.050284747,-0.088049919,-0.018430721,-0.005638602,0.00403039,0.032717917,0.037891677,-0.063817256,-0.057017087,-0.011483238,-0.04768279,0.087595853,-0.054638543,0.080784996,0.012015351,-0.034224662,0.000615031,-0.038813641,-0.005650793,-0.016951955,0.003995293,0.020922993,-0.003502218,-0.024200182,0.002622663,-0.004102936,-0.003369714,0.083069359,-0.009107243,-0.028785978,0.662524765,0.693557991,-0.072252545,-0.057645242,-0.129036509,-0.025997175,-0.028478519
revol_bal,0.321272245,-0.031949678,0.30746086,0.179379082,0.10091212,-0.027230782,-0.008971653,-0.015293211,-0.005604378,0.237197239,-0.088909302,1,0.248009159,0.203038652,0.127203443,0.23961624,0.227546429,0.178387713,0.014878922,0.017064281,0.016865747,0.102534969,-0.025719782,0.004005777,0.000830355,-0.009336488,0.439163702,-0.020137644,0.019925756,-0.023567293,-0.00746015,0.007907021,0.101624953,-0.095241398,-0.012603276,-0.005745073,0.567757527,0.121351981,0.802107445,-0.042505113,0.050741527,-0.024329576,-0.0100257,0.276908389,0.165910531,0.180823562,-0.011283262,0.00428029,0.103995987,0.230107095,0.02183796,0.022511557,0.213700936,0.026957019,-0.030860028,0.010552284,-0.034321994,-0.078667937,0.320425683,0.317756197,0.286111162,0.238082068,0.02812784,0.244515342,0.224390188,0.316965219,0.236382862,-0.003297207,0.004206961,-0.032658405,-0.022892313,0.114153709,0.144626371,-0.112127769,-0.010482716,0.466860109,0.508348369,0.479805886,0.138226865,0.017156717
revol_util,0.102904986,0.259573741,0.124060242,0.028558841,0.112692151,0.003130049,-0.080717238,-0.000244331,0.030673658,-0.137824615,-0.051237381,0.248009159,1,-0.096618533,-0.035927572,0.167202255,0.123853585,0.230148776,0.032612237,0.040921486,0.039082772,0.026045066,-0.034224525,-0.006338776,-0.019634573,-0.011629896,0.089113231,-0.192061033,0.046406309,-0.095916696,-0.075101071,0.06716981,0.030703655,-0.06656409,-0.205864476,-0.225793425,0.329900138,0.6696044,-0.134222198,-0.086291111,0.027608046,-0.127515794,-0.223259533,0.133038677,-0.483750964,0.870137452,-0.010284146,-0.004703436,0.069817961,0.021789123,0.179419102,0.164940863,0.038715467,0.148180549,0.010167119,0.094003646,0.018700631,-0.019027946,0.105481475,0.109275721,-0.123602396,-0.128692819,0.021295143,-0.200072226,-0.171275586,0.115208958,-0.137979732,-0.008309412,-0.014358838,-0.003682657,-0.216558207,-0.033461283,0.740648652,-0.074375665,-0.001625622,0.030311115,0.128932517,-0.176434122,0.036860408,-0.053683652
total_acc,0.196456008,-0.046363033,0.175637125,0.107755056,0.143334441,0.117701537,0.162434376,-0.046249876,-0.16683667,0.72018799,0.00159456,0.203038652,-0.096618533,1,0.006946879,0.194569132,0.191472087,0.118280008,0.008130322,0.036455389,0.03643735,0.138519753,0.005435169,-0.046301347,0.025843433,0.007398547,0.32280817,0.260902921,0.399299237,0.25861012,0.353792959,-0.197360517,0.421728079,0.116783383,0.248112897,0.311767636,0.136830747,0.006290058,0.319030966,0.172472625,0.294307926,0.215916817,0.434768349,0.053240804,0.242817853,-0.072297179,0.041252283,0.00578027,0.341228561,0.282166533,-0.17302385,-0.217212957,0.368380908,-0.126634419,0.005138578,-0.130392933,-0.02445945,0.146536051,0.315559826,0.41766595,0.416769511,0.62998122,0.689688633,0.57656508,0.765158559,0.418283111,0.716965186,0.009186355,0.020442122,0.068061491,0.334501719,0.022559725,-0.057769313,0.020570097,-0.016177935,0.349537024,0.440562097,0.296477111,0.427667226,-0.015952869
out_prncp,0.485965358,0.025896957,0.399418756,0.079672473,0.065261195,-0.035372085,-0.083985388,0.033431257,0.136212642,0.065093423,-0.060472667,0.127203443,-0.035927572,0.006946879,1,-0.251426651,-0.322271937,0.097739793,-0.018735271,-0.092022338,-0.088838195,-0.294270571,-0.008466856,0.040395923,-0.020853391,-0.005017097,0.123854577,-0.051010007,0.020105423,-0.034882394,-0.026377417,0.005674556,0.08434846,-0.083300894,-0.064739903,-0.064758921,0.218101008,-0.033704159,0.170999363,-0.007985123,0.03018591,-0.041826722,-0.035660368,0.087320588,0.160152267,-0.061266339,-0.011293377,-0.004569482,0.03999324,0.045921803,0.061083842,0.044377294,0.017165353,0.034264061,-0.00299848,0.040457168,0.016529936,-0.030967962,0.080823933,0.045714973,0.09469843,-0.001338207,0.020308596,0.055991281,-0.011430072,0.045695922,0.066598064,-0.009385523,-0.016263982,-0.024118218,-0.044893354,0.043512399,-0.069782135,-0.037948905,-0.029273669,0.146305518,0.131794942,0.210833011,0.11984566,0.173430789
total_pymnt,0.653356846,0.103332318,0.654690632,0.127885306,-0.005009313,0.01814566,0.036123707,-0.041424813,-0.099640794,0.131468012,-0.019176438,0.23961624,0.167202255,0.194569132,-0.251426651,1,0.970633494,0.692987945,0.070741345,-0.000711364,0.002462845,0.59295588,-0.019272849,-0.027776037,0.017997443,-0.002355548,0.229252596,0.013821008,0.024072386,0.022352229,0.041693522,-0.014111049,0.099385178,-0.026492809,0.001333698,0.010778777,0.236784334,0.059234136,0.196451649,-0.005551686,0.056022488,0.041651121,0.00518764,0.17052131,0.063264766,0.133352046,0.004333712,0.004729663,0.104703371,0.144455746,0.015226651,0.004163764,0.223226117,0.022416538,-0.033749378,-0.021127019,-0.040825813,-0.031804779,0.140298289,0.127324972,0.138840657,0.19561702,0.063784216,0.119438723,0.172995015,0.127903945,0.130938702,0.005894242,0.016597351,-0.005292064,-0.008994734,0.054159654,0.108206345,-0.066789575,0.032175723,0.234618168,0.185567882,0.208845398,0.119758239,0.105350632
total_rec_prncp,0.588462122,-0.012048895,0.609658081,0.127461094,-0.025794123,0.010382743,0.023236381,-0.033384215,-0.094330313,0.121841593,-0.022078099,0.227546429,0.123853585,0.191472087,-0.322271937,0.970633494,1,0.506547449,0.042809946,-0.089386864,-0.084285384,0.673323591,-0.020114782,-0.022504922,0.014770671,-0.002000568,0.228721511,0.008736785,0.015591113,0.014929237,0.03247428,-0.009214169,0.08479322,-0.031235232,-0.002054081,0.005531965,0.217253604,0.023230877,0.205227425,-0.009794986,0.053913749,0.032759574,-0.002748166,0.174066571,0.09517957,0.091043389,0.003187558,0.00398447,0.099153448,0.145226604,0.017138866,0.008815664,0.224638907,0.022182729,-0.027963279,-0.012886187,-0.034536847,-0.033540907,0.123884588,0.102853716,0.136753819,0.199487979,0.057840939,0.112372282,0.173472169,0.102891607,0.121359428,0.005229821,0.013564002,-0.007925375,-0.016079494,0.059684446,0.068542272,-0.066002542,0.027987941,0.237513983,0.170689173,0.22322362,0.108290223,0.172598174
total_rec_int,0.578099167,0.405478282,0.515185399,0.076220961,0.059976713,0.032469306,0.053033076,-0.046563844,-0.068638821,0.103590719,-0.003840049,0.178387713,0.230148776,0.118280008,0.097739793,0.692987945,0.506547449,1,0.112265782,0.06114817,0.062107198,0.11277624,-0.009283631,-0.030464563,0.019496915,-0.002441326,0.13743061,0.017900653,0.041094509,0.030277277,0.046330456,-0.020286854,0.100067052,-0.001449528,0.006794036,0.016921437,0.18968213,0.153805572,0.089652345,0.008083834,0.033657417,0.045464465,0.017295583,0.091379236,-0.05888124,0.206721717,0.005600752,0.004879211,0.078982969,0.084288084,0.008315775,-0.005960151,0.126567881,0.018666911,-0.036352968,-0.031987548,-0.041421287,-0.014100677,0.131720133,0.147272978,0.086174816,0.098335636,0.052589092,0.088828074,0.094906221,0.149438921,0.103212439,0.005252994,0.018382019,0.004122242,0.007675152,0.014566958,0.183286342,-0.043007238,0.031336287,0.130410575,0.153522522,0.080658593,0.104290902,-0.034261941
total_rec_late_fee,0.063588286,0.060384219,0.074288782,0.017051396,0.000957099,0.034831604,0.017550062,-0.031835357,-0.039669497,0.00302887,0.006356511,0.014878922,0.032612237,0.008130322,-0.018735271,0.070741345,0.042809946,0.112265782,1,0.072617153,0.072768727,-0.017805187,0.004254181,-0.016631082,0.00724002,-0.000378832,0.02406663,0.011814696,0.010453055,0.017323194,0.01782148,-0.0082501,0.019655829,0.012558342,0.002860515,0.0026281,0.008185195,0.029998679,-0.002628071,0.014264738,0.013046438,0.023640954,0.012080912,0.0215874,-0.022349738,0.028563185,0.002682038,0.00130212,0.005594265,0.000382902,-0.0001857,-0.008500961,0.0063771,0.001994132,-0.026833571,-0.016272651,-0.027911378,0.00928768,-6.65E-05,0.004246431,-0.006604515,-0.005619265,0.016041442,-0.007404461,-0.005093466,0.004268028,0.002859465,0.001710644,0.008086004,0.01010363,0.011991561,-0.027895794,0.028218528,-0.009600509,0.016467208,0.021013038,0.026111548,-0.012169023,0.023902972,-0.103820278
